product_detail,transactions,qty,avg_price,revenue,cogs,profit,profit_margin
Almond Croissant,1903,1911,3.7509879138202837,7168.13,2867.252,2873.628,0.40088949279658714
Brazilian - Organic,209,214,18.0,3852.0,1348.2,2347.0499999999997,0.6093068535825544
Brazilian Lg,2771,4317,3.5,15109.5,5288.325,7742.925000000001,0.5124540851781992
Brazilian Rg,2904,4385,3.0,13155.0,4604.249999999999,6372.750000000001,0.48443557582668195
Brazilian Sm,2814,4310,2.2,9482.0,3318.7000000000003,4052.8000000000006,0.42742037544821776
Cappuccino,2793,4266,3.75,15997.5,5599.125,8303.625,0.5190576652601969
Cappuccino Lg,2772,4151,4.25,17641.75,6174.612499999999,9388.1375,0.5321545481599048
Carmel syrup,1725,2576,0.8,2060.8,927.3600000000001,-160.31,-0.07779017857142856
Chili Mayan,148,148,13.33,1972.84,1085.0620000000001,776.7779999999999,0.3937359339834958
Chocolate Chip Biscotti,1891,1924,3.5079111581173983,6748.96,2699.5840000000003,2631.1259999999993,0.38985651122543313
Chocolate Croissant,3076,3096,3.7551950585175553,11625.98,4650.392,4668.588,0.40156511537091927
Chocolate syrup,1733,2658,0.8,2126.4,956.8800000000001,-130.23,-0.061244356659142206
Civet Cat,190,260,45.0,11700.0,4094.9999999999995,7462.5,0.6378205128205128
Columbian Medium Roast,148,148,15.0,2220.0,777.0,1332.0,0.6
Columbian Medium Roast Lg,2731,4195,3.0,12585.0,4404.749999999999,6132.000000000001,0.4872467222884387
Columbian Medium Roast Rg,3013,4547,2.5,11367.5,3978.625,5129.125,0.45120958873982847
Columbian Medium Roast Sm,2728,4178,2.0,8356.0,2924.6,3385.4,0.40514600287218766
Cranberry Scone,2077,2092,3.259359653346172,6818.44,2727.376,2533.314,0.37153865106974615
Croissant,1933,1954,3.511836523538541,6861.88,2744.7520000000004,2667.3779999999992,0.3887240814470669
Dark chocolate,118,118,6.4,755.2,415.36000000000007,251.33999999999997,0.33281249999999996
Dark chocolate Lg,3029,4668,4.5,21006.0,9452.699999999999,9281.550000000001,0.4418523279063125
Dark chocolate Rg,2636,4007,3.5,14024.5,6311.025,5736.475,0.4090324075724625
Earl Grey,142,142,8.95,1270.8999999999999,444.81499999999994,719.585,0.5662011173184358
Earl Grey Lg,2702,4245,3.0,12735.0,4457.249999999999,6251.250000000001,0.49087161366313314
Earl Grey Rg,3053,4708,2.5,11770.0,4119.5,5360.75,0.4554587935429057
English Breakfast,161,161,8.95,1440.9499999999998,504.3324999999999,815.8675,0.5662011173184358
English Breakfast Lg,2852,4309,3.0,12927.0,4524.449999999999,6263.550000000001,0.48453237410071953
