payload_mass_kg,flight_number,year,num_payloads,customers_count,launch_site,orbit,rocket_name,landing_type,landing_success
500,11,2013,1,1,VAFB SLC 4E,PO,Falcon 9,Ocean,0
2296,14,2014,1,1,CCSFS SLC 40,ISS,Falcon 9,Ocean,1
1316,15,2014,1,1,CCSFS SLC 40,LEO,Falcon 9,Ocean,1
2216,18,2014,1,1,CCSFS SLC 40,ISS,Falcon 9,Ocean,0
2395,19,2015,1,1,CCSFS SLC 40,ISS,Falcon 9,ASDS,0
570,20,2015,1,3,CCSFS SLC 40,ES-L1,Falcon 9,Ocean,1
1898,22,2015,1,1,CCSFS SLC 40,ISS,Falcon 9,ASDS,0
2034,25,2015,1,1,CCSFS SLC 40,LEO,Falcon 9,RTLS,1
553,26,2016,1,2,VAFB SLC 4E,PO,Falcon 9,ASDS,0
5271,27,2016,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,0
3136,28,2016,1,1,CCSFS SLC 40,ISS,Falcon 9,ASDS,1
4696,29,2016,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,1
3100,30,2016,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,1
3600,31,2016,2,2,CCSFS SLC 40,GTO,Falcon 9,ASDS,0
2257,32,2016,1,1,CCSFS SLC 40,ISS,Falcon 9,RTLS,1
4600,33,2016,1,1,CCSFS SLC 40,GTO,Falcon 9,ASDS,1
9600,35,2017,1,1,VAFB SLC 4E,PO,Falcon 9,ASDS,1
2490,36,2017,1,1,KSC LC 39A,ISS,Falcon 9,RTLS,1
5300,38,2017,1,1,KSC LC 39A,GTO,Falcon 9,ASDS,1
1675,39,2017,1,1,KSC LC 39A,LEO,Falcon 9,RTLS,1
2708,41,2017,1,1,KSC LC 39A,ISS,Falcon 9,RTLS,1
3669,42,2017,1,1,KSC LC 39A,GTO,Falcon 9,ASDS,1
9600,43,2017,1,1,VAFB SLC 4E,PO,Falcon 9,ASDS,1
2910,45,2017,1,1,KSC LC 39A,ISS,Falcon 9,RTLS,1
475,46,2017,1,1,VAFB SLC 4E,SSO,Falcon 9,ASDS,1
