name,date_utc,year,month,flight_number,rocket_name,launch_site,pad_lat,pad_lon,pad_locality,payload_mass_kg,orbit,customers_count,num_payloads,landing_success,landing_type
FalconSat,2006-03-24T22:30:00.000Z,2006,3,1,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,Omelek Island,20.0,LEO,1,1,,
DemoSat,2007-03-21T01:10:00.000Z,2007,3,2,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,Omelek Island,,LEO,1,1,,
Trailblazer,2008-08-03T03:34:00.000Z,2008,8,3,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,Omelek Island,,LEO,2,2,,
RatSat,2008-09-28T23:15:00.000Z,2008,9,4,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,Omelek Island,165.0,LEO,1,1,,
RazakSat,2009-07-13T03:35:00.000Z,2009,7,5,Falcon 1,Kwajalein Atoll,9.0477206,167.7431292,Omelek Island,200.0,LEO,1,1,,
Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,2010,6,6,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,LEO,1,1,,
COTS 1,2010-12-08T15:43:00.000Z,2010,12,7,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,,LEO,2,2,,
COTS 2,2012-05-22T07:44:00.000Z,2012,5,8,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,525.0,LEO,1,1,,
CRS-1,2012-10-08T00:35:00.000Z,2012,10,9,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,800.0,ISS,2,2,,
CRS-2,2013-03-01T19:10:00.000Z,2013,3,10,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,677.0,ISS,1,1,,
CASSIOPE,2013-09-29T16:00:00.000Z,2013,9,11,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,500.0,PO,1,1,False,Ocean
SES-8,2013-12-03T22:41:00.000Z,2013,12,12,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3170.0,GTO,1,1,,
Thaicom 6,2014-01-06T18:06:00.000Z,2014,1,13,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3325.0,GTO,1,1,,
CRS-3,2014-04-18T19:25:00.000Z,2014,4,14,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2296.0,ISS,1,1,True,Ocean
OG-2 Mission 1,2014-07-14T15:15:00.000Z,2014,7,15,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,1316.0,LEO,1,1,True,Ocean
AsiaSat 8,2014-08-05T08:00:00.000Z,2014,8,16,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4535.0,GTO,1,1,,
AsiaSat 6,2014-09-07T05:00:00.000Z,2014,9,17,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4428.0,GTO,1,1,,
CRS-4,2014-09-21T05:52:00.000Z,2014,9,18,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2216.0,ISS,1,1,False,Ocean
CRS-5,2015-01-10T09:47:00.000Z,2015,1,19,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2395.0,ISS,1,1,False,ASDS
DSCOVR,2015-02-11T23:03:00.000Z,2015,2,20,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,570.0,ES-L1,3,1,True,Ocean
ABS-3A / Eutelsat 115W B,2015-03-02T03:50:00.000Z,2015,3,21,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4159.0,GTO,2,2,,
CRS-6,2015-04-14T20:10:00.000Z,2015,4,22,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,1898.0,ISS,1,1,False,ASDS
TürkmenÄlem 52°E / MonacoSAT,2015-04-27T23:03:00.000Z,2015,4,23,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4707.0,GTO,1,1,,
CRS-7,2015-06-28T14:21:00.000Z,2015,6,24,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2477.0,ISS,1,1,,ASDS
OG-2 Mission 2,2015-12-22T01:29:00.000Z,2015,12,25,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2034.0,LEO,1,1,True,RTLS
Jason 3,2016-01-17T15:42:00.000Z,2016,1,26,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,553.0,PO,2,1,False,ASDS
SES-9,2016-03-04T23:35:00.000Z,2016,3,27,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5271.0,GTO,1,1,False,ASDS
CRS-8,2016-04-08T20:43:00.000Z,2016,4,28,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3136.0,ISS,1,1,True,ASDS
JCSAT-2B,2016-05-06T05:21:00.000Z,2016,5,29,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4696.0,GTO,1,1,True,ASDS
Thaicom 8,2016-05-27T21:39:00.000Z,2016,5,30,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3100.0,GTO,1,1,True,ASDS
ABS-2A / Eutelsat 117W B,2016-06-15T14:29:00.000Z,2016,6,31,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,3600.0,GTO,2,2,False,ASDS
CRS-9,2016-07-18T04:45:00.000Z,2016,7,32,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,2257.0,ISS,1,1,True,RTLS
JCSAT-16,2016-08-14T05:26:00.000Z,2016,8,33,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,4600.0,GTO,1,1,True,ASDS
Amos-6,2016-09-01T13:07:00.000Z,2016,9,34,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,Cape Canaveral,5500.0,GTO,1,1,,ASDS
Iridium NEXT Mission 1,2017-01-14T17:54:00.000Z,2017,1,35,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,Vandenberg Space Force Base,9600.0,PO,1,1,True,ASDS
CRS-10,2017-02-19T14:39:00.000Z,2017,2,36,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,2490.0,ISS,1,1,True,RTLS
EchoStar 23,2017-03-16T06:00:00.000Z,2017,3,37,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,5600.0,GTO,1,1,,
SES-10,2017-03-30T22:27:00.000Z,2017,3,38,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,5300.0,GTO,1,1,True,ASDS
NROL-76,2017-05-01T11:15:00.000Z,2017,5,39,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,,LEO,1,1,True,RTLS
Inmarsat-5 F4,2017-05-15T23:21:00.000Z,2017,5,40,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,6070.0,GTO,1,1,,
CRS-11,2017-06-03T21:07:00.000Z,2017,6,41,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,Cape Canaveral,2708.0,ISS,1,1,True,RTLS
